No	ContigN50	Platform	Pan
10	16.1	Other_TGS	no
24	16.145	NGS	no
6	16.18	NGS	no
12	16.2	NGS	no
31	16.235	Other_TGS	no
87	16.312	NGS	no
48	16.4	Other_TGS	no
32	16.4	NGS	no
10	16.48	NGS	no
18	16.57	No_info	no
22	16.6	NGS	no
48	16.854	NGS	no
87	16.898	NGS	no
31	17	NGS	no
21	17.038	No_info	no
13	17.06	Other_TGS	no
13	17.06	Other_TGS	no
33	17.376	NGS	no
48	17.5	NGS	no
6	17.5	NGS	no
21	17.77	NGS	pan-genome
65	17.914	Other_TGS	no
87	18.068	NGS	no
48	18.07	NGS	no
30	18.148	NGS	pan-genome
48	18.18	NGS	no
30	18.2	NGS	no
21	18.247	NGS	pan-genome
21	18.628	NGS	pan-genome
12	18.7	NGS	no
6	18.8	Other_TGS	no
48	18.9	NGS	no
6	18.95	Other_TGS	no
48	19	NGS	no
33	19	NGS	no
32	19	NGS	no
21	19.008	No_info	no
31	19.138	NGS	no
87	19.321	NGS	no
21	19.6	Other_TGS	no
87	19.668	NGS	no
30	19.8	NGS	no
22	19.8	NGS	no
55	20	NGS	no
16	20	NGS	no
33	20.125	NGS	no
37	20.3	NGS	no
18	20.4	NGS	no
87	20.530 	NGS	no
50	20.6	NGS	no
21	20.71	NGS	pan-genome
6	20.76	Other_TGS	no
6	20.8	Other_TGS	no
87	20.843	NGS	no
55	20.9	NGS	no
32	21	NGS	no
24	21	NGS	no
48	21.026	Other_TGS	no
33	21.1	Sanger	no
21	21.1	Other_TGS	no
87	21.453	NGS	no
31	21.5	NGS	no
21	21.58	NGS	no
12	21.82	NGS	no
32	21.9	NGS	no
32	21.95	NGS	no
29	21.96	NGS	no
3	21.977	NGS	no
48	22.4	NGS	no
48	22.45	Other_TGS	no
31	22.62	NGS	no
87	22.718	NGS	no
32	23.2	NGS	no
21	23.377	NGS	pan-genome
32	23.54	NGS	no
21	23.593	NGS	pan-genome
21	23.611	NGS	pan-genome
24	23.9	Other_TGS	no
32	24	NGS	no
7	24	NGS	no
48	24.038	NGS	no
32	24.2	NGS	no
46	24.502	NGS	no
21	24.63	NGS	no
21	24.659	No_info	no
24	24.7	NGS	no
21	24.737	NGS	pan-genome
27	24.892	NGS	no
10	24.896	No_info	pan-genome
44	25	NGS	no
87	25.013	NGS	no
66	25.02	NGS	no
50	25.12	Other_TGS	no
48	25.2	NGS	no
10	25.2	NGS	pan-genome
12	25.3	NGS	no
65	25.361	Other_TGS	no
48	25.4	NGS	no
38	25.4	NGS	no
12	25.49	NGS	no
12	25.594	NGS	no
21	25.9	NGS	no
18	26	Other_TGS	no
24	26.035	NGS	no
12	26.28	NGS	no
37	26.302	NGS	no
30	26.38	NGS	no
18	26.5	NGS	no
33	26.535	Other_TGS	no
21	26.546	No_info	no
48	26.638	Other_TGS	no
33	26.7	NGS	no
21	26.9	NGS	no
46	27	Other_TGS	no
31	27	NGS	no
31	27	NGS	no
87	27.087	NGS	no
21	27.294	NGS	no
32	27.379	NGS	no
18	27.414	NGS	no
87	27.6	Sanger	no
33	27.7	NGS	no
10	27.9	NGS	no
10	27.9	NGS	no
10	28.1	NGS	no
30	28.343	NGS	no
10	28.4	NGS	no
21	28.581	NGS	no
21	28.858	No_info	no
21	28.896	No_info	no
12	28.98	NGS	no
30	29	NGS	no
64	29.3	NGS	no
12	29.48	Other_TGS	no
10	29.502	No_info	pan-genome
21	29.517	NGS	pan-genome
32	29.6	NGS	no
83	29.7	NGS	no
22	30	NGS	no
10	30	NGS	no
10	30	NGS	no
6	30	Other_TGS	no
21	30.357	NGS	pan-genome
33	30.6	NGS	no
50	30.7	NGS	no
21	31	NGS	no
27	31.039	Other_TGS	no
10	31.429	NGS	no
31	31.8	NGS	no
27	31.875	NGS	no
48	31.9	NGS	no
32	32	NGS	no
32	32.134000 	Other_TGS	no
21	32.17	NGS	no
29	32.209	NGS	no
10	32.3	NGS	no
17	32.33	NGS	no
48	32.4	NGS	no
21	32.56	NGS	no
87	32.688	NGS	no
18	32.8	NGS	no
50	33.1	NGS	no
48	33.1	NGS	no
46	33.9	NGS	no
31	34	NGS	no
31	34	NGS	no
22	34	NGS	no
30	34.151	NGS	no
48	34.232	NGS	no
29	34.601	NGS	no
12	34.7	NGS	no
32	34.9	NGS	no
10	34.99	Other_TGS	no
18	35	Other_TGS	no
18	35	NGS	no
87	35.1	NGS	no
10	35.151	No_info	pan-genome
29	35.32	NGS	no
29	35.397	NGS	no
31	35.7	NGS	no
12	35.95	NGS	no
31	36	NGS	no
6	36	NGS	no
10	36.031	No_info	pan-genome
30	36.7	NGS	no
12	36.74	NGS	no
12	36.74	NGS	no
10	36.9	Other_TGS	no
32	37	Other_TGS	no
29	37.442	NGS	no
48	37.557	NGS	no
48	37.69	NGS	no
32	37.7	NGS	no
21	37.96	NGS	no
32	38	NGS	no
20	38.159	NGS	no
57	38.7	NGS	no
43	38.8	NGS	no
21	38.9	NGS	no
10	38.963	No_info	pan-genome
21	38.966	HiFi	no
10	39	NGS	no
48	39.23	Other_TGS	no
43	39.3	NGS	no
21	39.322	No_info	no
31	39.33	Other_TGS	no
32	39.370 	NGS	no
24	39.37	NGS	no
17	39.43	Other_TGS	no
29	39.492	NGS	no
32	39.5	NGS	no
27	39.97	NGS	no
48	40	Sanger	no
10	40	NGS	no
22	40.22	NGS	no
10	40.318	No_info	pan-genome
33	40.4	NGS	no
30	40.5	NGS	no
30	40.7	NGS	no
29	41	NGS	no
87	41.7	Sanger	no
32	41.8	NGS	no
32	42	NGS	no
12	42	Other_TGS	no
10	42.127	No_info	pan-genome
33	42.25	HiFi	no
33	43	NGS	no
48	43.035	NGS	no
87	43.061	NGS	no
46	43.1	NGS	no
12	43.419	Other_TGS	no
16	43.654	Other_TGS	no
21	43.675	No_info	no
48	43.9	NGS	no
21	44	Other_TGS	no
31	44.7	NGS	no
35	44.84	NGS	no
22	44.9	NGS	no
30	44.902	NGS	pan-genome
48	45	Other_TGS	no
21	45.26	NGS	no
87	45.4	Sanger	no
10	45.444	No_info	pan-genome
12	45.5	Sanger	no
22	45.58	NGS	no
24	45.66	NGS	no
12	45.7	NGS	no
10	45.878	No_info	pan-genome
29	45.989	NGS	no
29	46.148	NGS	no
22	46.15	Other_TGS	no
48	46.49	Other_TGS	no
24	46.5	NGS	no
38	47	Other_TGS	no
32	47	Other_TGS	no
6	47.63	Other_TGS	no
67	48.2	NGS	no
12	48.3	NGS	no
9	48.58	NGS	no
10	48.808	Other_TGS	no
18	49.21	Other_TGS	no
24	49.89	NGS	no
38	49.94	Other_TGS	no
48	50.248	NGS	no
31	50.25	NGS	no
10	50.3	NGS	no
32	51.2	Other_TGS	no
32	51.2	Other_TGS	no
29	51.6	NGS	no
48	52	Other_TGS	no
12	52	NGS	no
10	52	NGS	no
12	52.2	NGS	no
12	52.3	NGS	no
22	53	Other_TGS	pan-genome
48	53.29	Other_TGS	no
22	54	Other_TGS	pan-genome
22	54	Other_TGS	pan-genome
10	54.49	Other_TGS	no
34	54.512	NGS	no
22	55	Other_TGS	pan-genome
33	55.147	NGS	no
10	55.4	NGS	no
86	56.1	NGS	no
48	56.196	NGS	no
21	56.709	NGS	pan-genome
48	57.378	NGS	no
33	57.7	NGS	no
16	58.86	NGS	no
33	59	NGS	no
10	59.5	Other_TGS	no
22	60	Other_TGS	pan-genome
31	60.124	NGS	no
48	60.508	Other_TGS	no
21	60.626	No_info	no
37	61	NGS	no
21	61	Other_TGS	no
16	61.8	NGS	no
30	62.6	NGS	no
32	62.61	NGS	no
10	62.8	Other_TGS	no
31	63.65	NGS	no
27	63.685	Other_TGS	no
22	64	Other_TGS	pan-genome
3	64.68	No_info	no
21	65.001	No_info	no
21	65.48	NGS	no
37	65.9	Sanger	no
48	66	NGS	no
9	66.857	NGS	no
27	66.97	NGS	no
16	67.07	Other_TGS	no
27	67.2	Sanger	no
12	67.224	Other_TGS	no
29	68	NGS	no
21	68.4	Other_TGS	no
21	68.4	Other_TGS	no
12	68.7	Other_TGS	no
50	68.9	NGS	no
48	69	NGS	no
29	69.35	NGS	no
9	70	NGS	no
33	70.158	HiFi	no
22	71	Other_TGS	pan-genome
22	72	NGS	no
22	72	Other_TGS	no
48	72.4	NGS	no
49	72.64	NGS	no
48	73.3	Other_TGS	no
87	73.43	Other_TGS	no
24	74	Other_TGS	no
21	74.65	NGS	no
18	74.7	Other_TGS	no
48	75.5	Other_TGS	no
24	75.7	Other_TGS	no
48	75.814	Other_TGS	pan-genome
49	76.1	NGS	no
24	76.6	NGS	no
22	77	NGS	no
22	77	Other_TGS	pan-genome
29	77.23	Other_TGS	no
32	78	Other_TGS	no
22	78	Other_TGS	pan-genome
29	78.8	Other_TGS	no
48	79	NGS	no
87	79.1	Sanger	no
10	79.724	NGS	no
12	79.8	Other_TGS	no
55	79.958	NGS	no
31	80	Other_TGS	no
22	80	NGS	no
12	80.066	NGS	no
50	80.1	Other_TGS	no
48	80.2	NGS	no
21	81	NGS	no
21	82.1	Other_TGS	no
31	82.27	Other_TGS	no
10	82.598	NGS	no
18	82.651	NGS	no
12	82.8	Other_TGS	no
48	83	Other_TGS	no
21	83.235	No_info	no
48	83.702	NGS	no
22	84.4	NGS	no
21	85.286	NGS	no
44	86	NGS	no
32	86	Other_TGS	no
48	86.36	NGS	no
22	87	Other_TGS	no
10	87.006	NGS	no
48	87.129	Other_TGS	pan-genome
6	88	Other_TGS	no
50	88.165	Other_TGS	no
12	88.46	HiFi	no
6	88.7	Other_TGS	no
30	89	NGS	no
6	89	Other_TGS	no
49	89.562	Other_TGS	no
10	90.4	Other_TGS	no
87	91.765	NGS	no
24	92.1	Other_TGS	no
32	92.53	NGS	no
48	93	Other_TGS	no
29	95	NGS	no
10	95.17	Other_TGS	no
33	96.8	Other_TGS	no
27	97	NGS	no
65	97.163	Other_TGS	no
33	97.58	Other_TGS	no
49	99.304	Other_TGS	no
46	100.6	Other_TGS	no
29	101.58	Other_TGS	no
22	102	Other_TGS	pan-genome
55	102.4	Other_TGS	no
37	102.85	NGS	no
31	103.9	Other_TGS	no
33	104.22	Other_TGS	no
32	106.66	Other_TGS	no
48	107	Other_TGS	no
17	107	NGS	no
20	107.747	Other_TGS	no
50	110.03	NGS	no
30	110.1	NGS	no
24	110.84	NGS	no
44	110.9	Sanger	no
63	112.74	NGS	no
22	113	NGS	no
21	114.3	Other_TGS	no
48	116.484	Other_TGS	pan-genome
20	116.606	Other_TGS	no
33	116.8	Other_TGS	no
48	117	Other_TGS	no
24	119	Sanger	no
81	119.8	Sanger	no
27	120.1	Other_TGS	no
21	123	NGS	no
46	123.86	Other_TGS	no
87	124.5	NGS	no
21	125	No_info	pan-genome
33	126	Sanger	no
48	126.3	Sanger	no
48	126.5	Other_TGS	no
87	126.807	Other_TGS	no
48	126.879	Other_TGS	pan-genome
31	130	Other_TGS	no
9	130	Other_TGS	no
6	130.7	Other_TGS	no
33	131	NGS	no
31	132.6	Other_TGS	no
54	133.9	Other_TGS	no
21	134.1	NGS	no
83	135	NGS	no
22	135.6	NGS	no
21	136.392	Other_TGS	no
48	139.434	Other_TGS	pan-genome
48	143.829	Other_TGS	pan-genome
12	145.43	Other_TGS	no
33	149.783	Other_TGS	no
33	152.7	Other_TGS	no
22	154	NGS	no
85	155.5	Other_TGS	pan-genome
50	155.5	NGS	no
33	156	NGS	no
32	157.99	Other_TGS	no
87	158	Sanger	no
48	159	Other_TGS	no
12	161.226	NGS	no
24	161.367	Other_TGS	no
81	163	Other_TGS	no
48	163.708	Other_TGS	pan-genome
41	164	Other_TGS	no
31	170	Other_TGS	no
57	171	Other_TGS	no
31	171.17	Other_TGS	no
18	176	NGS	no
48	176.247	Other_TGS	no
16	176.33	Other_TGS	no
48	185.088	Other_TGS	pan-genome
27	185.5	Other_TGS	no
37	186	Other_TGS	no
31	187	Other_TGS	no
48	187.1	Sanger	no
83	188	NGS	no
48	188	Other_TGS	no
32	189.4	Sanger	no
50	194	Other_TGS	no
48	194	Other_TGS	no
49	195.4	NGS	no
21	196	NGS	no
21	197	NGS	no
81	201.16	Other_TGS	no
9	204.058	Other_TGS	no
55	205	Other_TGS	no
83	207	NGS	no
48	211	Other_TGS	no
32	211	Other_TGS	no
48	211.2	Other_TGS	no
10	212.94	Other_TGS	no
31	214.2	Sanger	no
48	217.626	Other_TGS	pan-genome
3	220.89	Other_TGS	no
30	221	Other_TGS	no
57	222	Other_TGS	no
21	227.4	Sanger	no
48	227.79	Other_TGS	pan-genome
38	228	Other_TGS	no
48	232	Other_TGS	no
33	232.3	Other_TGS	no
18	236	Other_TGS	no
48	236.204	Other_TGS	no
50	237	Other_TGS	no
48	237.144	Other_TGS	no
42	238	Other_TGS	no
31	241	Other_TGS	no
22	245	Other_TGS	no
16	245.7	Other_TGS	no
32	248.703	Other_TGS	no
32	248.703	Other_TGS	no
12	249.856	Other_TGS	no
21	250	Other_TGS	pan-genome
21	250.6	Other_TGS	no
21	251.6	Sanger	no
33	251.71	NGS	no
48	253.518	Other_TGS	pan-genome
10	253.764	Other_TGS	no
31	255.4	No_info	no
55	256.298	Other_TGS	no
6	258.2	Other_TGS	no
48	259.196	Other_TGS	pan-genome
33	261	NGS	no
33	263.9	Other_TGS	no
84	265.9	Other_TGS	no
18	268	Other_TGS	no
57	269.11	Other_TGS	no
18	271	NGS	no
16	271.33	Other_TGS	no
21	272	Other_TGS	pan-genome
24	272.44 	Other_TGS	no
48	273	Other_TGS	pan-genome
12	277.872	Other_TGS	no
43	281	Other_TGS	no
37	282.256	Other_TGS	no
48	288.992	Other_TGS	pan-genome
54	289.5	Other_TGS	no
24	289.79 	No_info	no
48	290.021	Other_TGS	pan-genome
16	292	Other_TGS	no
48	294	Other_TGS	pan-genome
57	296	Other_TGS	no
48	299.052	Other_TGS	pan-genome
12	300	Other_TGS	no
33	300.36	Other_TGS	no
48	302.551	Other_TGS	no
27	304.5	Other_TGS	no
87	304.8	HiFi	no
24	305.76 	Other_TGS	no
37	310	Other_TGS	pan-genome
37	310	Other_TGS	pan-genome
48	310.098	Other_TGS	no
21	311.7	Other_TGS	no
21	311.7	Other_TGS	no
48	312.675	Other_TGS	pan-genome
48	313.685	Other_TGS	pan-genome
8	313.81	Other_TGS	no
48	314.152	Other_TGS	pan-genome
8	314.31	Other_TGS	no
18	315	Other_TGS	no
33	319.3	Other_TGS	no
30	320	Other_TGS	no
87	324	Other_TGS	no
21	324	Other_TGS	pan-genome
31	325	Other_TGS	no
33	325.52	Other_TGS	no
24	326	Other_TGS	no
48	326.273	Other_TGS	pan-genome
32	330.63	HiFi	no
21	331	Other_TGS	no
24	335	Other_TGS	no
33	335.52	Other_TGS	no
21	336	Other_TGS	pan-genome
48	336.752	Other_TGS	pan-genome
22	340	Other_TGS	no
87	341	Other_TGS	no
48	341.4	Other_TGS	no
48	342.003	Other_TGS	pan-genome
48	344	Other_TGS	no
10	345.167	NGS	no
48	347.8	Sanger	no
65	347.954	Other_TGS	no
33	350	Other_TGS	no
32	350	Other_TGS	no
10	350.983	NGS	no
48	351	Other_TGS	no
48	351.713	Other_TGS	no
10	352	Other_TGS	no
48	359.641	Other_TGS	pan-genome
10	364.9	Other_TGS	no
48	366	Other_TGS	no
48	369	Other_TGS	no
16	370	Other_TGS	no
87	377.357	Other_TGS	no
50	377.6	Other_TGS	no
48	381.898	HiFi	no
31	381.96	Other_TGS	no
16	382	Other_TGS	pan-genome
48	382.837	Other_TGS	pan-genome
48	382.941	Other_TGS	pan-genome
33	383.13	Other_TGS	no
48	385.21	Other_TGS	pan-genome
10	385.886	NGS	no
48	386.6	Other_TGS	no
12	388.86	Other_TGS	no
87	391.6	Other_TGS	no
22	394	Other_TGS	no
33	396.09	Other_TGS	no
48	397.311	Other_TGS	pan-genome
48	397.979	Other_TGS	pan-genome
55	400	Other_TGS	no
48	402.331	Other_TGS	pan-genome
48	406.751	Other_TGS	pan-genome
16	407	Other_TGS	pan-genome
21	408	Other_TGS	pan-genome
6	409	NGS	no
24	410	Other_TGS	no
48	414	Other_TGS	no
48	414.383	Other_TGS	pan-genome
48	418	Other_TGS	no
32	419	Other_TGS	no
48	419.077	Other_TGS	pan-genome
24	420	Other_TGS	no
24	420	Other_TGS	no
48	421.426	Other_TGS	pan-genome
16	425	Other_TGS	no
10	425	Other_TGS	pan-genome
48	427	Other_TGS	no
29	431	Other_TGS	no
30	432	Other_TGS	no
48	433.895	Other_TGS	no
18	434.7	NGS	no
48	435.043	Other_TGS	pan-genome
33	435.71	Other_TGS	no
48	437.976	Other_TGS	pan-genome
48	438.211	Other_TGS	pan-genome
30	440	Other_TGS	no
33	442.89	Other_TGS	no
48	443.127	Other_TGS	pan-genome
65	447.849	Other_TGS	no
65	447.849	Other_TGS	no
48	448.369	Other_TGS	pan-genome
10	449	Other_TGS	pan-genome
46	450	Other_TGS	no
48	456.276	Other_TGS	pan-genome
32	459	HiFi	no
48	459.401	Other_TGS	pan-genome
48	459.456	Other_TGS	pan-genome
48	460.178	Other_TGS	pan-genome
48	462.548	Other_TGS	pan-genome
6	463	HiFi	no
30	463.388	Other_TGS	no
50	464	Other_TGS	no
83	464.9	No_info	no
48	465.198	Other_TGS	pan-genome
29	466.697	Other_TGS	no
48	468	Other_TGS	pan-genome
48	473.375	Other_TGS	pan-genome
48	473.551	Other_TGS	pan-genome
29	474.015	Other_TGS	no
21	477.64	Other_TGS	no
21	479	Other_TGS	pan-genome
48	480.35	Other_TGS	no
32	482	Other_TGS	no
43	484.3	Other_TGS	no
48	485	Other_TGS	pan-genome
48	487.3	Other_TGS	pan-genome
37	490	Other_TGS	pan-genome
37	490	Other_TGS	pan-genome
48	490.245	Other_TGS	pan-genome
31	492	Other_TGS	no
6	497	Other_TGS	no
48	498	Other_TGS	pan-genome
48	500	Other_TGS	no
48	500	Other_TGS	no
9	500	Other_TGS	no
48	503.59	Other_TGS	pan-genome
21	504	Other_TGS	pan-genome
12	505.21	Other_TGS	no
12	505.21	Other_TGS	no
48	508.815	Other_TGS	pan-genome
31	513.57	Other_TGS	no
48	513.739	Other_TGS	pan-genome
48	513.801	Other_TGS	pan-genome
27	513.85	Other_TGS	no
32	514.45	Other_TGS	no
48	515	Other_TGS	pan-genome
16	517	Other_TGS	pan-genome
12	517	Other_TGS	no
48	520	Other_TGS	no
12	530	Other_TGS	no
18	530.071	Other_TGS	no
33	532.84	Other_TGS	no
48	535.055	Other_TGS	pan-genome
16	538	Other_TGS	pan-genome
16	539.2	Other_TGS	no
10	546	Other_TGS	pan-genome
87	547.037	Other_TGS	no
24	549.44	Other_TGS	no
18	550.7	Other_TGS	no
18	553.04	Other_TGS	no
6	559.4	NGS	no
48	560	Other_TGS	no
33	564	NGS	no
87	564.035	Other_TGS	no
37	570	Other_TGS	pan-genome
37	570	Other_TGS	pan-genome
18	570.071	Other_TGS	no
30	578	Other_TGS	no
10	579	Other_TGS	pan-genome
48	584.537	Other_TGS	pan-genome
31	588	Other_TGS	no
48	593.09	Other_TGS	pan-genome
32	593.7	Other_TGS	no
33	597	Other_TGS	no
10	600	Other_TGS	pan-genome
3	600	Other_TGS	no
16	600.46	Other_TGS	no
21	602.9	Other_TGS	no
3	604	Other_TGS	no
48	605	Other_TGS	no
57	607.34	Other_TGS	no
16	611	Other_TGS	no
48	612.481	Other_TGS	pan-genome
32	612.99	Other_TGS	no
6	616.85	Other_TGS	no
31	620	Other_TGS	no
24	629	Other_TGS	no
48	631	Other_TGS	pan-genome
48	634	Other_TGS	pan-genome
27	636	Other_TGS	no
12	638	Other_TGS	no
24	642.34	Other_TGS	no
32	649.96	Other_TGS	no
31	650	Other_TGS	no
12	650	NGS	no
48	651	Other_TGS	pan-genome
21	651.797	Other_TGS	no
27	653	Other_TGS	no
24	657	Other_TGS	no
12	658	Other_TGS	no
31	662	Other_TGS	no
87	666.31	Other_TGS	no
48	668.76	Other_TGS	pan-genome
21	671	Other_TGS	pan-genome
50	677.859	Other_TGS	no
10	678	Other_TGS	pan-genome
24	679.5	Other_TGS	no
37	680	Other_TGS	pan-genome
37	680	Other_TGS	pan-genome
48	688.588	Other_TGS	pan-genome
21	689	Other_TGS	pan-genome
48	691	Other_TGS	pan-genome
24	691	Other_TGS	no
16	695.292	Other_TGS	no
42	702	Other_TGS	no
10	702.9	No_info	no
18	705	Other_TGS	no
16	706	Other_TGS	pan-genome
16	706	Other_TGS	pan-genome
31	709	Other_TGS	no
58	710.747	Other_TGS	no
48	713	Other_TGS	no
30	714	Other_TGS	no
48	716.087	Other_TGS	pan-genome
71	719.8	Other_TGS	no
9	720.804	Other_TGS	no
48	720.856	Other_TGS	no
48	721.403	Other_TGS	pan-genome
48	724.526	Other_TGS	pan-genome
87	730	Other_TGS	no
12	730	Other_TGS	no
48	733.271	Other_TGS	pan-genome
58	733.89	Other_TGS	no
55	734	Other_TGS	no
48	737.6	Other_TGS	pan-genome
29	751.259	Other_TGS	no
48	751.656	Other_TGS	pan-genome
24	752	Other_TGS	no
24	773.17	Other_TGS	no
16	777	Other_TGS	pan-genome
16	777	Other_TGS	pan-genome
46	778	NGS	no
22	783.9	Other_TGS	no
57	784.56	Other_TGS	no
30	786.13	Other_TGS	no
3	790.58	Other_TGS	no
48	791	Other_TGS	no
85	796	Other_TGS	no
37	800	Other_TGS	pan-genome
37	800	Other_TGS	pan-genome
31	801	Other_TGS	no
48	802.249	Other_TGS	pan-genome
33	804.25	Other_TGS	no
44	806.6	Other_TGS	no
32	807	Other_TGS	no
48	817.522	Other_TGS	pan-genome
48	818.307	Other_TGS	pan-genome
48	820.435	Other_TGS	no
31	823	Other_TGS	no
16	824	Other_TGS	pan-genome
9	824.14	Other_TGS	no
21	826	Other_TGS	pan-genome
31	828	Other_TGS	no
48	830.002	Other_TGS	pan-genome
55	831	Other_TGS	no
18	835.8	Other_TGS	no
16	836.61	Other_TGS	no
24	842.8	Other_TGS	no
48	844	Other_TGS	no
10	844	Other_TGS	no
16	848.459	Other_TGS	no
16	852	Other_TGS	pan-genome
12	852.4	Other_TGS	no
48	854.324	Other_TGS	pan-genome
48	856.02	Other_TGS	pan-genome
30	858	Other_TGS	no
48	859.749	Other_TGS	pan-genome
48	861.762	Other_TGS	pan-genome
48	861.78	Other_TGS	pan-genome
48	867.201	Other_TGS	pan-genome
6	870	Other_TGS	no
